TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,7,Ethnicity,MTHU010275
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,6,Location,LP149876-7
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,7,Location,LP6825-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-location_id,8,Location,MTHU043904
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,6,Provider,LP7504-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-provider_id,7,Provider,MTHU001352
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,6,Continuity assessment record and evaluation,LP68340-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-care_site_id,7,Site,LP73352-4
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_source_value,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_source_value,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_source_value,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_source_value,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_source_value,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,6,Gender,LP61312-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_value,7,Gender,MTHU002975
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,6,Gender,LP61312-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_source_concept_id,7,Gender,MTHU002975
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,6,Race,MTHU009923
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,7,Race:Type:Pt:^Patient:Nom,32624-9
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,8,Race,LP71009-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,9,Race,MTHU051585
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_value,10,Race,LP7528-5
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,6,Race,MTHU009923
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,7,Race:Type:Pt:^Patient:Nom,32624-9
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,8,Race,LP71009-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,9,Race,MTHU051585
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_source_concept_id,10,Race,LP7528-5
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,6,Ethnicity,LP72553-8
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_value,7,Ethnicity,MTHU010275
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,6,Ethnicity,LP72553-8
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_source_concept_id,7,Ethnicity,MTHU010275
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-person_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-person_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-person_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-person_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-person_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_start_date,1,start,LP190656-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_start_date,2,Date,LP74693-0
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_start_date,3,Date,MTHU021546
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_start_date,4,Date,LP182451-7
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_start_datetime,1,start,LP190656-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_end_date,1,end,LP190655-3
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_end_date,2,Date,LP74693-0
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_end_date,3,Date,MTHU021546
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_end_date,4,Date,LP182451-7
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_end_datetime,1,end,LP190655-3
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_type_concept_id,1,Type,MTHU013727
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_type_concept_id,2,Type,LP73575-0
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-visit_type_concept_id,3,Type,LP6886-8
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-provider_id,1,Provider,LP7504-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-provider_id,2,Provider,MTHU001352
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-care_site_id,1,Continuity assessment record and evaluation,LP68340-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-care_site_id,2,Site,LP73352-4
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-admitted_from_concept_id,1,Admitted,LA14106-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-admitted_from_source_value,1,Admitted,LA14106-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-discharge_to_concept_id,1,Discharge,LA18419-4
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-discharge_to_concept_id,2,Discharge,LP149706-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-discharge_to_concept_id,3,Discharge,MTHU044395
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-discharge_to_source_value,1,Discharge,LA18419-4
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-discharge_to_source_value,2,Discharge,LP149706-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_occurrence-discharge_to_source_value,3,Discharge,MTHU044395
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-person_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-person_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-person_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-person_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-person_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_start_date,1,start,LP190656-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_start_date,2,Date,LP74693-0
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_start_date,3,Date,MTHU021546
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_start_date,4,Date,LP182451-7
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_start_datetime,1,start,LP190656-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_end_date,1,end,LP190655-3
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_end_date,2,Date,LP74693-0
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_end_date,3,Date,MTHU021546
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_end_date,4,Date,LP182451-7
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_end_datetime,1,end,LP190655-3
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_type_concept_id,1,Type,MTHU013727
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_type_concept_id,2,Type,LP73575-0
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_type_concept_id,3,Type,LP6886-8
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-provider_id,1,Provider,LP7504-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-provider_id,2,Provider,MTHU001352
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-care_site_id,1,Continuity assessment record and evaluation,LP68340-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-care_site_id,2,Site,LP73352-4
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-admitted_from_source_value,1,Admitted,LA14106-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-admitted_from_concept_id,1,Admitted,LA14106-1
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-discharge_to_source_value,1,Discharge,LA18419-4
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-discharge_to_source_value,2,Discharge,LP149706-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-discharge_to_source_value,3,Discharge,MTHU044395
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-discharge_to_concept_id,1,Discharge,LA18419-4
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-discharge_to_concept_id,2,Discharge,LP149706-6
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-discharge_to_concept_id,3,Discharge,MTHU044395
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_parent_id,1,Parent,LA6654-3
BioportalAttributoNomeCompleto,LOINC,OMOP,visit_detail-visit_detail_parent_id,2,Parent,LP264345-2
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,4,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,5,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,6,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,7,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-person_id,8,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_concept_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_concept_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_concept_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_type_concept_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_type_concept_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_type_concept_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_type_concept_id,4,Type,MTHU013727
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_type_concept_id,5,Type,LP73575-0
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_type_concept_id,6,Type,LP6886-8
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_date,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_date,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_date,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_date,4,Date,LP74693-0
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_date,5,Date,MTHU021546
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_date,6,Date,LP182451-7
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_datetime,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_datetime,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_datetime,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-quantity,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-quantity,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-quantity,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-unit_concept_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-unit_concept_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-unit_concept_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_concept_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_concept_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_concept_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_concept_id,4,Site,LP73352-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,4,Disease,LA18199-2
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,5,Status,MTHU015827
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,6,Status,LP73412-6
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_concept_id,7,Status:Find:Pt:^Patient:Nom,106199-3
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_source_id,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_source_id,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_source_id,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_source_value,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_source_value,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-specimen_source_value,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-unit_source_value,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-unit_source_value,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-unit_source_value,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_source_value,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_source_value,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_source_value,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-anatomic_site_source_value,4,Site,LP73352-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,1,Specimen,MTHU010726
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,2,Specimen,LP208103-4
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,3,Specimen,LP7593-9
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,4,Disease,LA18199-2
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,5,Status,MTHU015827
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,6,Status,LP73412-6
BioportalAttributoNomeCompleto,LOINC,OMOP,specimen-disease_status_source_value,7,Status:Find:Pt:^Patient:Nom,106199-3
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-measurement_id,1,Measurement,LP266370-8
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-measurement_id,2,Measurement,LP7412-2
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-measurement_id,3,Measurement,MTHU003137
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-person_id,1,Measurement,LP266370-8
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-person_id,2,Measurement,LP7412-2
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-person_id,3,Measurement,MTHU003137
BioportalAttributoNomeCompleto,LOINC,OMOP,measurement-person_id,4,Person,LP345156-6
