text,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity,ontologies,names
"inpatientclaims pertains to a synthetic inpatient claim, other physician – national provider identifier number",3,Number,410680006,['43039974'],['attribute'],number,number,0.4196327917975095,0.4196327917975095,['SNOMED-CT'],inpatientclaims_ot_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, inpatient admission date",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_admsn_dt
"inpatientclaims pertains to a synthetic inpatient claim, inpatient admission date",1,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_admsn_dt
"inpatientclaims pertains to a synthetic inpatient claim, inpatient admission date",2,Hospital admission,32485007,['28321150'],['procedure'],admission,admission,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_admsn_dt
"inpatientclaims pertains to a synthetic inpatient claim, inpatient admission date",3,Dates - food,227423000,['91187746'],['substance'],date,date,0.251822554119519,0.251822554119519,['SNOMED-CT'],inpatientclaims_clm_admsn_dt
"inpatientclaims pertains to a synthetic inpatient claim, claim admitting diagnosis code",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_admtng_icd9_dgns_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim admitting diagnosis code",2,Admitting diagnosis (contextual qualifier),52870002,['7882689'],['qualifier value'],admitting diagnosis,admitting~diagnosis,1.0,1.0,['SNOMED-CT'],inpatientclaims_admtng_icd9_dgns_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim pass thru per diem amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_pass_thru_per_diem_amt
"inpatientclaims pertains to a synthetic inpatient claim, nch beneficiary inpatient deductible amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_ip_ddctbl_amt
"inpatientclaims pertains to a synthetic inpatient claim, nch beneficiary inpatient deductible amount",1,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_ip_ddctbl_amt
"inpatientclaims pertains to a synthetic inpatient claim, nch beneficiary part a coinsurance liability amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_pta_coinsrnc_lblty_am
"inpatientclaims pertains to a synthetic inpatient claim, nch beneficiary blood deductible liability amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_blood_ddctbl_lblty_am
"inpatientclaims pertains to a synthetic inpatient claim, nch beneficiary blood deductible liability amount",1,Bloods,32873005,['20410104'],['ethnic group'],blood,blood,0.99,0.99,['SNOMED-CT'],inpatientclaims_nch_bene_blood_ddctbl_lblty_am
"inpatientclaims pertains to a synthetic inpatient claim, claim utilization day count",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_utlztn_day_cnt
"inpatientclaims pertains to a synthetic inpatient claim, claim utilization day count",1,counts,258734002,['7882689'],['qualifier value'],count,count,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_utlztn_day_cnt
"inpatientclaims pertains to a synthetic inpatient claim, inpatient discharged date",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_dschrg_dt
"inpatientclaims pertains to a synthetic inpatient claim, inpatient discharged date",1,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_dschrg_dt
"inpatientclaims pertains to a synthetic inpatient claim, inpatient discharged date",2,Discharged from hospital,183665006,['67667581'],['finding'],discharged,discharged,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_bene_dschrg_dt
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis related group code",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_drg_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis related group code",1,Diagnosis,439401001,['2680757'],['observable entity'],diagnosis,diagnosis,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_drg_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis related group code",2,Related,262094002,['67667581'],['finding'],related,related,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_drg_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis related group code",3,Groups,261586004,['7882689'],['qualifier value'],group,group,0.41275494182192823,0.41275494182192823,['SNOMED-CT'],inpatientclaims_clm_drg_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis code 1 – claim diagnosis code 10",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_icd9_dgns_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis code 1 – claim diagnosis code 10",1,Diagnosis,439401001,['2680757'],['observable entity'],diagnosis,diagnosis,1.0,1.0,['SNOMED-CT'],inpatientclaims_icd9_dgns_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim diagnosis code 1 – claim diagnosis code 10",2,Diagnosis,439401001,['2680757'],['observable entity'],diagnosis,diagnosis,1.0,1.0,['SNOMED-CT'],inpatientclaims_icd9_dgns_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim procedure code 1 – claim procedure code 6",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_icd9_prcdr_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim procedure code 1 – claim procedure code 6",1,Procedure,71388002,['28321150'],['procedure'],procedure,procedure,1.0,1.0,['SNOMED-CT'],inpatientclaims_icd9_prcdr_cd
"inpatientclaims pertains to a synthetic inpatient claim, claim procedure code 1 – claim procedure code 6",2,Procedure,71388002,['28321150'],['procedure'],procedure,procedure,1.0,1.0,['SNOMED-CT'],inpatientclaims_icd9_prcdr_cd
"inpatientclaims pertains to a synthetic inpatient claim, revenue center hcfa common procedure coding system 1 – revenue center hcfa common procedure coding system 45",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_hcpcs_cd
"inpatientclaims pertains to a synthetic inpatient claim, revenue center hcfa common procedure coding system 1 – revenue center hcfa common procedure coding system 45",1,Central,26216008,['7882689'],['qualifier value'],center,center,1.0,1.0,['SNOMED-CT'],inpatientclaims_hcpcs_cd
"inpatientclaims pertains to a synthetic inpatient claim, revenue center hcfa common procedure coding system 1 – revenue center hcfa common procedure coding system 45",2,Common,72906007,['7882689'],['qualifier value'],common,common,1.0,1.0,['SNOMED-CT'],inpatientclaims_hcpcs_cd
"inpatientclaims pertains to a synthetic inpatient claim, revenue center hcfa common procedure coding system 1 – revenue center hcfa common procedure coding system 45",3,Procedure,71388002,['28321150'],['procedure'],procedure,procedure,1.0,1.0,['SNOMED-CT'],inpatientclaims_hcpcs_cd
"inpatientclaims pertains to a synthetic inpatient claim, revenue center hcfa common procedure coding system 1 – revenue center hcfa common procedure coding system 45",4,System,733021006,['39041339'],['unit of presentation'],system,system,0.576200817644029,0.576200817644029,['SNOMED-CT'],inpatientclaims_hcpcs_cd
"inpatientclaims pertains to a synthetic inpatient claim, revenue center hcfa common procedure coding system 1 – revenue center hcfa common procedure coding system 45",5,Central,26216008,['7882689'],['qualifier value'],center,center,1.0,1.0,['SNOMED-CT'],inpatientclaims_hcpcs_cd
