NomeColonnaCompleta,DescrizioneColonnaCompleta
d_icd_diagnoses_short_title,"d_icd_diagnoses defines international classification of diseases version 9 (icd-9) codes for diagnoses., short_title provides a brief definition for the given diagnosis code in icd9_code."
d_icd_diagnoses_long_title,"d_icd_diagnoses defines international classification of diseases version 9 (icd-9) codes for diagnoses., long_title provides a brief definition for the given diagnosis code in icd9_code."
d_icd_diagnoses_mimic_id,"d_icd_diagnoses defines international classification of diseases version 9 (icd-9) codes for diagnoses., a unique id for all mimic tables."
d_icd_procedures_short_title,"d_icd_procedures defines international classification of diseases version 9 (icd-9) codes for procedures., short_title provides a brief definition for the given diagnosis code in icd9_code."
d_icd_procedures_long_title,"d_icd_procedures defines international classification of diseases version 9 (icd-9) codes for procedures., long_title provides a brief definition for the given diagnosis code in icd9_code."
d_icd_procedures_mimic_id,"d_icd_procedures defines international classification of diseases version 9 (icd-9) codes for procedures., a unique id for all mimic tables."
d_icd_procedures_icd9_code,"d_icd_procedures defines international classification of diseases version 9 (icd-9) codes for procedures., this is a fixed length character field, as whitespaces are important in uniquely identifying icd-9 codes."
d_items_itemid,"d_items defines table for all items in the icu databases., itemid is a identifier for a single measurement type in the database."
d_items_label,"d_items defines table for all items in the icu databases., label describes the concept which is represented by the itemid."
d_items_abbreviation,"d_items defines table for all items in the icu databases., abbreviation lists a common abbreviation for the label."
d_items_dbsource,"d_items defines table for all items in the icu databases., dbsource was generated to clarify which database the given itemid."
d_items_linksto,"d_items defines table for all items in the icu databases., linksto provides the table name which the data links to."
d_items_category,"d_items defines table for all items in the icu databases., category provides some information of the type of data the itemid corresponds to."
d_items_unitname,"d_items defines table for all items in the icu databases., unitname specifies the unit of measurement used for the itemid."
d_items_param_type,"d_items defines table for all items in the icu databases., param_type describes the type of data which is recorded."
d_items_conceptid,"d_items defines table for all items in the icu databases., identifier used to harmonize concepts identified by multiple itemids. conceptids are planned but not yet implemented."
d_items_mimic_id,"d_items defines table for all items in the icu databases., a unique id for all mimic tables."
d_labitems_itemid,"d_labitems contains definitions for all itemid associated with lab measurements in the mimic database., d_items defines table for all items in the icu databases."
d_labitems_label,"d_labitems contains definitions for all itemid associated with lab measurements in the mimic database., label describes the concept which is represented by the itemid."
d_labitems_fluid,"d_labitems contains definitions for all itemid associated with lab measurements in the mimic database., fluid describes the substance on which the measurement was made. "
d_labitems_category,"d_labitems contains definitions for all itemid associated with lab measurements in the mimic database., category provides higher level information as to the type of measurement."
d_labitems_loinc_code,"d_labitems contains definitions for all itemid associated with lab measurements in the mimic database., loinc_code contains the loinc code associated with the given itemid."
d_labitems_mimic_id,"d_labitems contains definitions for all itemid associated with lab measurements in the mimic database., a unique id for all mimic tables."
datetimeevents_charttime,"datetimeevents contains all date measurements about a patient in the icu., charttime records the time at which an observation was made, and is usually the closest proxy to the time the data was actually measured."
datetimeevents_storetime,"datetimeevents contains all date measurements about a patient in the icu., storetime records the time at which an observation was manually input or manually validated by a member of the clinical staff."
datetimeevents_value,"datetimeevents contains all date measurements about a patient in the icu., value contains the value measured for the concept identified by the itemid."
datetimeevents_valuenum,"datetimeevents contains all date measurements about a patient in the icu., valuenum contains the score and valuecontains the score and text describing the meaning of the score."
datetimeevents_valueuom,"datetimeevents contains all date measurements about a patient in the icu., valueuom is the unit of measurement for the value, if appropriate."
datetimeevents_warning,"datetimeevents contains all date measurements about a patient in the icu., warning specifies if a warning for the value was raised and if an error occurred during the measurement."
datetimeevents_error,"datetimeevents contains all date measurements about a patient in the icu., error specifies if a warning for the value was raised and if an error occurred during the measurement."
datetimeevents_resultstatus,"datetimeevents contains all date measurements about a patient in the icu., resultstatus specifies the type of measurement. "
datetimeevents_stopped,"datetimeevents contains all date measurements about a patient in the icu., stopped specifies whether the measurement was stopped."
datetimeevents_mimic_id,"datetimeevents contains all date measurements about a patient in the icu., a unique id for all mimic tables."
diagnoses_icd_seq_num,"diagnoses_icd contains icd diagnoses for patients, most notably icd-9 diagnoses., seq_num provides the order in which the icd diagnoses relate to the patient."
diagnoses_icd_mimic_id,"diagnoses_icd contains icd diagnoses for patients, most notably icd-9 diagnoses., a unique id for all mimic tables."
drgcodes_drg_type,"drgcodes contains diagnosis related groups (drg) codes for patients., drg_type provides the type of drg code in the entry."
drgcodes_drg_code,"drgcodes contains diagnosis related groups (drg) codes for patients., drg_code contains a code which represents the diagnosis billed for by the hospital."
drgcodes_description,"drgcodes contains diagnosis related groups (drg) codes for patients., description provides a human understandable summary of the meaning of the given drg code. "
drgcodes_drg_severity,"drgcodes contains diagnosis related groups (drg) codes for patients., drg_severity provides additional granularity to drg codes in the ‘apr’ drg type."
drgcodes_drg_mortality,"drgcodes contains diagnosis related groups (drg) codes for patients., drg_mortality provides additional granularity to drg codes in the ‘apr’ drg type."
drgcodes_mimic_id,"drgcodes contains diagnosis related groups (drg) codes for patients., a unique id for all mimic tables."
icustays_icustay_id,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., icustay_id is unique to a patient icu stay."
icustays_dbsource,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., dbsource contains the original icu database the data was sourced from."
icustays_first_careunit,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., first_careunit contains the first icu type in which the patient was cared for."
icustays_last_careunit,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., last_careunit contains the last icu type in which the patient was cared for."
icustays_first_wardid,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., first_wardid contains the first icu unit in which the patient stayed. "
icustays_last_wardid,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., last_wardid contains the last icu unit in which the patient stayed. "
icustays_intime,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., intime provides the date and time the patient was transferred into the icu."
icustays_outtime,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., outtimeprovides the date and time the patient was transferred out of the icu."
icustays_los,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., los is the length of stay for the patient for the given icu stay, which may include one or more icu units."
icustays_mimic_id,"icustays defines each icustay_id in the database, i.e. defines a single icu stay., a unique id for all mimic tables."
inputevents_cv_itemid,"inputevents_cv is input data for patients from carevue icu databases., itemid is a identifier for a single measurement type in the database."
inputevents_cv_charttime,"inputevents_cv is input data for patients from carevue icu databases., charttime records the time at which an observation was made, and is usually the closest proxy to the time the data was actually measured."
inputevents_cv_amount,"inputevents_cv is input data for patients from carevue icu databases., amount lists the amount of a drug or substance administered to the patient either between the starttime and endtime or at the endtime."
inputevents_cv_amountuom,"inputevents_cv is input data for patients from carevue icu databases., amountuomlists the amount of a drug or substance administered to the patient either between the starttime and endtime or at the endtime."
inputevents_cv_rate,"inputevents_cv is input data for patients from carevue icu databases., rate lists the rate at which the drug or substance was administered to the patient either between the starttime and endtime, or it lists the rate at which the drug is currently administered at the endtime."
inputevents_cv_rateuom,"inputevents_cv is input data for patients from carevue icu databases., rateuom lists the rate at which the drug or substance was administered to the patient either between the starttime and endtime, or it lists the rate at which the drug is currently administered at the endtime."
inputevents_cv_storetime,"inputevents_cv is input data for patients from carevue icu databases., storetime records the time at which an observation was manually input or manually validated by a member of the clinical staff."
inputevents_cv_orderid,"inputevents_cv is input data for patients from carevue icu databases., orderid links multiple items contained in the same solution together."
inputevents_cv_linkorderid,"inputevents_cv is input data for patients from carevue icu databases., linkorderid links the same order across multiple instantiations."
inputevents_cv_stopped,"inputevents_cv is input data for patients from carevue icu databases., stopped indicates whether the infusion has been disconnected or continued."
inputevents_cv_newbottle,"inputevents_cv is input data for patients from carevue icu databases., newbottleindicates if a new preparation of the solution was hung at the bedside."
inputevents_cv_originalamount,"inputevents_cv is input data for patients from carevue icu databases., originalamount provides information about the solution the medication was a part of when it was first entered into the information system."
inputevents_cv_originalamountuom,"inputevents_cv is input data for patients from carevue icu databases., originalamountuom provides information about the solution the medication was a part of when it was first entered into the information system."
inputevents_cv_originalroute,"inputevents_cv is input data for patients from carevue icu databases., originalroute provides information about the solution the medication was a part of when it was first entered into the information system."
inputevents_cv_originalrate,"inputevents_cv is input data for patients from carevue icu databases., originalrate provides information about the solution the medication was a part of when it was first entered into the information system."
inputevents_cv_originalrateuom,"inputevents_cv is input data for patients from carevue icu databases., originalrateuom provides information about the solution the medication was a part of when it was first entered into the information system."
inputevents_cv_originalsite,"inputevents_cv is input data for patients from carevue icu databases., originalsite provides information about the solution the medication was a part of when it was first entered into the information system."
inputevents_cv_mimic_id,"inputevents_cv is input data for patients from carevue icu databases., a unique id for all mimic tables."
inputevents_mv_starttime,"inputevents_mv is input data for patients from metavision icu databases., starttime records the start time of an input/output event."
inputevents_mv_endtime,"inputevents_mv is input data for patients from metavision icu databases., endtime records the end time of an input/output event."
inputevents_mv_amount,"inputevents_mv is input data for patients from metavision icu databases., amount of the item administered to the patient."
inputevents_mv_amountuom,"inputevents_mv is input data for patients from metavision icu databases., unit of measurement for the amount."
inputevents_mv_rate,"inputevents_mv is input data for patients from metavision icu databases., rate at which the item is being administered to the patient."
inputevents_mv_rateuom,"inputevents_mv is input data for patients from metavision icu databases., unit of measurement for the rate."
inputevents_mv_storetime,"inputevents_mv is input data for patients from metavision icu databases., time when the event was recorded in the system."
inputevents_mv_orderid,"inputevents_mv is input data for patients from metavision icu databases., identifier linking items which are grouped in a solution."
inputevents_mv_linkorderid,"inputevents_mv is input data for patients from metavision icu databases., identifier linking orders across multiple administrations. linkorderid is always equal to the first occuring orderid of the series."
inputevents_mv_ordercategoryname,"inputevents_mv is input data for patients from metavision icu databases., a group which the item corresponds to."
inputevents_mv_secondaryordercategoryname,"inputevents_mv is input data for patients from metavision icu databases., a secondary group for those items with more than one grouping possible."
inputevents_mv_ordercomponenttypedescription,"inputevents_mv is input data for patients from metavision icu databases., the role of the item administered in the order."
inputevents_mv_ordercategorydescription,"inputevents_mv is input data for patients from metavision icu databases., the type of item administered."
inputevents_mv_patientweight,"inputevents_mv is input data for patients from metavision icu databases., for drugs dosed by weight, the value of the weight used in the calculation."
inputevents_mv_totalamount,"inputevents_mv is input data for patients from metavision icu databases., the total amount in the solution for the given item."
inputevents_mv_totalamountuom,"inputevents_mv is input data for patients from metavision icu databases., unit of measurement for the total amount in the solution."
inputevents_mv_isopenbag,"inputevents_mv is input data for patients from metavision icu databases., indicates whether the bag containing the solution is open."
inputevents_mv_continueinnextdept,"inputevents_mv is input data for patients from metavision icu databases., indicates whether the item will be continued in the next department where the patient is transferred to."
inputevents_mv_cancelreason,"inputevents_mv is input data for patients from metavision icu databases., reason for cancellation, if cancelled."
inputevents_mv_statusdescription,"inputevents_mv is input data for patients from metavision icu databases., the current status of the order: stopped, rewritten, running or cancelled."
inputevents_mv_comments_editedby,"inputevents_mv is input data for patients from metavision icu databases., the title of the caregiver who edited the order."
inputevents_mv_comments_canceledby,"inputevents_mv is input data for patients from metavision icu databases., the title of the caregiver who canceled the order."
inputevents_mv_comments_date,"inputevents_mv is input data for patients from metavision icu databases., time at which the caregiver edited or cancelled the order."
inputevents_mv_originalamount,"inputevents_mv is input data for patients from metavision icu databases., amount of the item which was originally charted."
inputevents_mv_originalrate,"inputevents_mv is input data for patients from metavision icu databases., rate of administration originally chosen for the item."
inputevents_mv_mimic_id,"inputevents_mv is input data for patients from metavision icu databases., a unique id for all mimic tables."
labevents_charttime,"labevents contains all laboratory measurements for a given patient, including out patient data., charttime records the time at which an observation was made, and is usually the closest proxy to the time the data was actually measured."
labevents_value,"labevents contains all laboratory measurements for a given patient, including out patient data., value contains the value measured for the concept identified by the itemid."
labevents_valuenum,"labevents contains all laboratory measurements for a given patient, including out patient data., valuenum contains the score and valuecontains the score and text describing the meaning of the score."
labevents_valueuom,"labevents contains all laboratory measurements for a given patient, including out patient data., valueuom is the unit of measurement for the value, if appropriate."
labevents_flag,"labevents contains all laboratory measurements for a given patient, including out patient data., flag indicates whether the laboratory value is considered abnormal or not, using pre-defined thresholds."
labevents_mimic_id,"labevents contains all laboratory measurements for a given patient, including out patient data., a unique id for all mimic tables."
microbiologyevents_charttime,"microbiologyevents contains microbiology information, including tests performed and sensitivities., charttime records the time at which an observation was made, and is usually the closest proxy to the time the data was actually measured."
microbiologyevents_chartdate,"microbiologyevents contains microbiology information, including tests performed and sensitivities., chartdate was included as time information is not always available for microbiology measurements."
microbiologyevents_spec_itemid,"microbiologyevents contains microbiology information, including tests performed and sensitivities., spec_itemid is the id of specimen which is tested for bacterial growth."
microbiologyevents_spec_type_desc,"microbiologyevents contains microbiology information, including tests performed and sensitivities., spec_type_desc is the description of specimen which is tested for bacterial growth."
microbiologyevents_org_itemid,"microbiologyevents contains microbiology information, including tests performed and sensitivities., org_itemid is the id of the organism."
microbiologyevents_org_name,"microbiologyevents contains microbiology information, including tests performed and sensitivities., org_name is the name of the organism."
microbiologyevents_isolate_num,"microbiologyevents contains microbiology information, including tests performed and sensitivities., isolate_num is the number of the isolated colony for testing antibiotics."
microbiologyevents_ab_itemid,"microbiologyevents contains microbiology information, including tests performed and sensitivities., ab_itemid is the id is listed here, if an antibiotic was tested against the given organism for sensitivity."
microbiologyevents_ab_name,"microbiologyevents contains microbiology information, including tests performed and sensitivities., ab_name is the name is listed here, if an antibiotic was tested against the given organism for sensitivity."
microbiologyevents_dilution_text,"microbiologyevents contains microbiology information, including tests performed and sensitivities., dilution values when testing antibiotic sensitivity."
microbiologyevents_dilution_comparison,"microbiologyevents contains microbiology information, including tests performed and sensitivities., dilution values when testing antibiotic sensitivity."
microbiologyevents_dilution_value,"microbiologyevents contains microbiology information, including tests performed and sensitivities., dilution values when testing antibiotic sensitivity."
microbiologyevents_interpretation,"microbiologyevents contains microbiology information, including tests performed and sensitivities., interpretation of the antibiotic sensitivity, and indicates the results of the test."
microbiologyevents_mimic_id,"microbiologyevents contains microbiology information, including tests performed and sensitivities., a unique id for all mimic tables."
noteevents_chartdate,"noteevents contains all notes for patients., chartdate was included as time information is not always available for microbiology measurements."
noteevents_charttime,"noteevents contains all notes for patients., date and time when the note was charted."
noteevents_category,"noteevents contains all notes for patients., category defines the type of note recorded."
noteevents_description,"noteevents contains all notes for patients., description defines the type of note recorded."
noteevents_iserror,"noteevents contains all notes for patients., flag to highlight an error with the note."
noteevents_text,"noteevents contains all notes for patients., content of the note."
noteevents_mimic_id,"noteevents contains all notes for patients., a unique id for all mimic tables."
outputevents_charttime,"outputevents outputs data for patients., charttime records the time at which an observation was made, and is usually the closest proxy to the time the data was actually measured."
outputevents_value,"outputevents outputs data for patients., value contains the value measured for the concept identified by the itemid."
outputevents_valueuom,"outputevents outputs data for patients., valueuom is the unit of measurement for the value, if appropriate."
outputevents_iserror,"outputevents outputs data for patients., iserror with 1 indicates that a physician has identified this note as an error."
outputevents_stopped,"outputevents outputs data for patients., stopped indicates whether the infusion has been disconnected or continued."
outputevents_newbottle,"outputevents outputs data for patients., newbottleindicates if a new preparation of the solution was hung at the bedside."
outputevents_mimic_id,"outputevents outputs data for patients., a unique id for all mimic tables."
patients_subject_id,"patients contains all charted data for all patients., subject_id is a unique identifier which specifies an individual patient."
patients_gender,"patients contains all charted data for all patients., gender is the genotypical sex of the patient."
patients_dob,"patients contains all charted data for all patients., dob is the date of birth of the given patient."
patients_dod,"patients contains all charted data for all patients., dod is the date of death for the given patient."
patients_dod_hosp,"patients contains all charted data for all patients., dod_hosp is the date of death as recorded in the hospital database."
patients_dod_ssn,"patients contains all charted data for all patients., dod_ssn is the date of death from the social security database."
patients_expire_flag,"patients contains all charted data for all patients., expire_flag is a binary flag which indicates whether the patient died."
patients_mimic_id,"patients contains all charted data for all patients., a unique id for all mimic tables."
prescriptions_startdate,"prescriptions contains medication related order entries., date when the prescription started."
prescriptions_enddate,"prescriptions contains medication related order entries., date when the prescription ended."
prescriptions_drug_type,"prescriptions contains medication related order entries., drug_type provides the type of drug prescribed."
prescriptions_drug,"prescriptions contains medication related order entries., drug is various representation of the drug prescribed to the patient."
prescriptions_drug_name_poe,"prescriptions contains medication related order entries., drug_name_poe is various representation of the drug prescribed to the patient."
prescriptions_drug_name_generic,"prescriptions contains medication related order entries., drug_name_generic is various representation of the drug prescribed to the patient."
prescriptions_formulary_drug_cd,"prescriptions contains medication related order entries., formulary_drug_cd provides a representation of the drug in various coding systems."
prescriptions_gsn,"prescriptions contains medication related order entries., gsn is the generic sequence number."
prescriptions_ndc,"prescriptions contains medication related order entries., ndc is the national drug code"
prescriptions_prod_strength,"prescriptions contains medication related order entries., strength of the drug product."
prescriptions_dose_val_rx,"prescriptions contains medication related order entries., dose of the drug prescribed."
prescriptions_dose_unit_rx,"prescriptions contains medication related order entries., unit of measurement associated with the dose."
prescriptions_form_val_disp,"prescriptions contains medication related order entries., amount of the formulation dispensed."
prescriptions_form_unit_disp,"prescriptions contains medication related order entries., unit of measurement associated with the formulation."
prescriptions_route,"prescriptions contains medication related order entries., route of administration, for example intravenous or oral."
prescriptions_mimic_id,"prescriptions contains medication related order entries., a unique id for all mimic tables."
procedures_icd_seq_num,"procedures_icd contains icd procedures for patients, most notably icd-9 procedures., seq_num provides the order in which the procedures were performed."
procedures_icd_mimic_id,"procedures_icd contains icd procedures for patients, most notably icd-9 procedures., a unique id for all mimic tables."
services_transfertime,"services lists services that a patient was admitted/transferred under., transfertime is the time at which the patient moved from the prev_service to the curr_service."
services_prev_service,"services lists services that a patient was admitted/transferred under., prev_service is the previous service that the patient resides under."
services_curr_service,"services lists services that a patient was admitted/transferred under., curr_service is the current service that the patient resides under."
services_mimic_id,"services lists services that a patient was admitted/transferred under., a unique id for all mimic tables."
transfers_dbsource,"transfers are physical locations for patients throughout their hospital stay., dbsource contains the original icu database the data was sourced from."
transfers_eventtype,"transfers are physical locations for patients throughout their hospital stay., eventtype describes what transfer event occurred."
transfers_prev_careunit,"transfers are physical locations for patients throughout their hospital stay., prev_careunit contains the care unit in which the patient previously resided."
transfers_curr_careunit,"transfers are physical locations for patients throughout their hospital stay., curr_careunit contains the care unit in which the patient currently resides."
transfers_prev_wardid,"transfers are physical locations for patients throughout their hospital stay., prev_wardid contains the previous ward in which the patient stayed."
transfers_curr_wardid,"transfers are physical locations for patients throughout their hospital stay., curr_wardid contains the current ward in which the patient stayed."
transfers_intime,"transfers are physical locations for patients throughout their hospital stay., intime provides the date and time the patient was transferred into the current care unit from the previous care unit."
transfers_outtime,"transfers are physical locations for patients throughout their hospital stay., outtime provides the date and time the patient was transferred out of the current care unit."
transfers_los,"transfers are physical locations for patients throughout their hospital stay., los is the length of stay for the patient for the given ward stay, which may be within or outside of the icu."
transfers_mimic_id,"transfers are physical locations for patients throughout their hospital stay., a unique id for all mimic tables."
