NomeColonnaCompleta,DescrizioneColonnaCompleta
visit_occurrence_provider_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the provider in the provider table who was associated with the visit."
visit_occurrence_care_site_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the care site in the care site table that was visited."
visit_occurrence_visit_source_value,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the source code for the visit as it appears in the source data."
visit_occurrence_visit_source_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to a concept that refers to the code used in the source."
visit_occurrence_admitted_from_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept in the place of service vocabulary reflecting where the patient was admitted from."
visit_occurrence_admitted_from_source_value,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the source code for where the patient was admitted from as it appears in the source data."
visit_occurrence_discharge_to_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept in the place of service vocabulary reflecting the discharge disposition for a visit."
visit_occurrence_discharge_to_source_value,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the source code for the discharge disposition as it appears in the source data."
visit_occurrence_preceding_visit_occurrence_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the visit_occurrence table of the visit immediately preceding this visit"
visit_detail_visit_detail_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a unique identifier for each person's visit or encounter at a healthcare provider."
visit_detail_person_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key identifier to the person for whom the visit is recorded. the demographic details of that person are stored in the person table."
visit_detail_visit_detail_concept_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key that refers to a visit concept identifier in the standardized vocabularies belonging to the 'visit' vocabulary."
visit_detail_visit_detail_start_date,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the start date of the visit."
visit_detail_visit_detail_start_datetime,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the date and time of the visit started."
visit_detail_visit_detail_end_date,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the end date of the visit. if this is a one-day visit the end date should match the start date."
visit_detail_visit_detail_end_datetime,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the date and time of the visit end."
visit_detail_visit_detail_type_concept_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary."
visit_detail_provider_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the provider in the provider table who was associated with the visit."
visit_detail_care_site_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the care site in the care site table that was visited."
visit_detail_visit_detail_source_value,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the source code for the visit as it appears in the source data."
visit_detail_visit_detail_source_concept_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to a concept that refers to the code used in the source."
visit_detail_admitted_from_source_value,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the source code for the admitting source as it appears in the source data."
visit_detail_admitted_from_concept_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the predefined concept in the 'place of service' vocabulary reflecting the admitting source for a visit."
visit_detail_discharge_to_source_value,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., the source code for the discharge disposition as it appears in the source data."
visit_detail_discharge_to_concept_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the predefined concept in the 'place of service' vocabulary reflecting the discharge disposition for a visit."
visit_detail_preceding_visit_detail_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the visit_detail table of the visit immediately preceding this visit"
visit_detail_visit_detail_parent_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key to the visit_detail table record to represent the immediate parent visit-detail record."
visit_detail_visit_occurrence_id,"the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit., a foreign key that refers to the record in the visit_occurrence table. this is a required field, because for every visit_detail is a child of visit_occurrence and cannot exist without a corresponding parent record in visit_occurrence."
specimen_specimen_id,"the specimen domain contains the records identifying biological samples from a person., a unique identifier for each specimen."
specimen_person_id,"the specimen domain contains the records identifying biological samples from a person., a foreign key identifier to the person for whom the specimen is recorded."
specimen_specimen_concept_id,"the specimen domain contains the records identifying biological samples from a person., a foreign key referring to a standard concept identifier in the standardized vocabularies for the specimen."
specimen_specimen_type_concept_id,"the specimen domain contains the records identifying biological samples from a person., a foreign key referring to the concept identifier in the standardized vocabularies reflecting the system of record from which the specimen was represented in the source data."
specimen_specimen_date,"the specimen domain contains the records identifying biological samples from a person., the date the specimen was obtained from the person."
specimen_specimen_datetime,"the specimen domain contains the records identifying biological samples from a person., the date and time on the date when the specimen was obtained from the person."
specimen_quantity,"the specimen domain contains the records identifying biological samples from a person., the amount of specimen collection from the person during the sampling procedure."
specimen_unit_concept_id,"the specimen domain contains the records identifying biological samples from a person., a foreign key to a standard concept identifier for the unit associated with the numeric quantity of the specimen collection."
specimen_anatomic_site_concept_id,"the specimen domain contains the records identifying biological samples from a person., a foreign key to a standard concept identifier for the anatomic location of specimen collection."
specimen_disease_status_concept_id,"the specimen domain contains the records identifying biological samples from a person., a foreign key to a standard concept identifier for the disease status of specimen collection."
specimen_specimen_source_id,"the specimen domain contains the records identifying biological samples from a person., the specimen identifier as it appears in the source data."
specimen_specimen_source_value,"the specimen domain contains the records identifying biological samples from a person., the specimen value as it appears in the source data. this value is mapped to a standard concept in the standardized vocabularies and the original code is, stored here for reference."
specimen_unit_source_value,"the specimen domain contains the records identifying biological samples from a person., the information about the unit as detailed in the source."
specimen_anatomic_site_source_value,"the specimen domain contains the records identifying biological samples from a person., the information about the anatomic site as detailed in the source."
specimen_disease_status_source_value,"the specimen domain contains the records identifying biological samples from a person., the information about the disease status as detailed in the source."
measurement_measurement_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a unique identifier for each measurement."
measurement_person_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key identifier to the person about whom the measurement was recorded. the demographic details of that person are stored in the person table."
measurement_measurement_concept_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to the standard measurement concept identifier in the standardized vocabularies. these belong to the 'measurement' domain, but could overlap with the 'observation' domain (see #3 below)."
measurement_measurement_date,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the date of the measurement."
measurement_measurement_datetime,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the date and time of the measurement. some database systems don't have a datatype of time. to accommodate all temporal analyses, datatype datetime can be used (combining measurement_date and measurement_time forum discussion)"
measurement_measurement_time,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the time of the measurement. this is present for backwards compatibility and will be deprecated in an upcoming version"
measurement_measurement_type_concept_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to the predefined concept in the standardized vocabularies reflecting the provenance from where the measurement record was recorded. these belong to the 'meas type' vocabulary"
measurement_operator_concept_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key identifier to the predefined concept in the standardized vocabularies reflecting the mathematical operator that is applied to the value_as_number. operators are <, <=, =, >=, > and these concepts belong to the 'meas value operator' domain."
measurement_value_as_number,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a measurement result where the result is expressed as a numeric value."
measurement_value_as_concept_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to a measurement result represented as a concept from the standardized vocabularies (e.g., positive/negative, present/absent, low/high, etc.). these belong to the 'meas value' domain"
measurement_unit_concept_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to a standard concept id of measurement units in the standardized vocabularies that belong to the 'unit' domain."
measurement_range_low,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the lower limit of the normal range of the measurement result. the lower range is assumed to be of the same unit of measure as the measurement value."
measurement_range_high,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the upper limit of the normal range of the measurement. the upper range is assumed to be of the same unit of measure as the measurement value."
measurement_provider_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to the provider in the provider table who was responsible for initiating or obtaining the measurement."
measurement_visit_occurrence_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to the visit in the visit_occurrence table during which the measurement was recorded."
measurement_visit_detail_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to the visit detail in the visit_detail table during which the measurement was recorded."
measurement_measurement_source_value,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the measurement name as it appears in the source data. this code is mapped to a standard concept in the standardized vocabularies and the original code is stored here for reference."
measurement_measurement_source_concept_id,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., a foreign key to a concept in the standard vocabularies that refers to the code used in the source."
measurement_unit_source_value,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the source code for the unit as it appears in the source data. this code is mapped to a standard unit concept in the standardized vocabularies and the original code is stored here for reference."
measurement_value_source_value,"the measurement table contains records of measurement, i.e. structured values (numerical or categorical) obtained through systematic and standardized examination or testing of a person or person's sample. the measurement table contains both orders and results of such measurements as laboratory tests, vital signs, quantitative findings from pathology reports, etc., the source value associated with the content of the value_as_number or value_as_concept_id as stored in the source data."
procedure_occurrence_procedure_occurrence_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a system-generated unique identifier for each procedure occurrence."
procedure_occurrence_person_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key identifier to the person who is subjected to the procedure. the demographic details of that person are stored in the person table."
procedure_occurrence_procedure_concept_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key that refers to a standard procedure concept identifier in the standardized vocabularies."
procedure_occurrence_procedure_date,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., the date on which the procedure was performed."
procedure_occurrence_procedure_datetime,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., the date and time on which the procedure was performed."
procedure_occurrence_procedure_type_concept_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the procedure record is derived, belonging to the 'procedure type' vocabulary."
procedure_occurrence_modifier_concept_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key to a standard concept identifier for a modifier to the procedure (e.g. bilateral). these concepts are typically distinguished by 'modifier' concept classes (e.g., 'cpt4 modifier' as part of the 'cpt4' vocabulary)."
procedure_occurrence_quantity,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., the quantity of procedures ordered or administered."
procedure_occurrence_provider_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key to the provider in the provider table who was responsible for carrying out the procedure."
procedure_occurrence_visit_occurrence_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key to the visit in the visit_occurrence table during which the procedure was carried out."
procedure_occurrence_visit_detail_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key to the visit detail in the visit_detail table during which the procedure was carried out."
procedure_occurrence_procedure_source_value,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., the source code for the procedure as it appears in the source data. this code is mapped to a standard procedure concept in the standardized vocabularies and the original code is, stored here for reference. procedure source codes are typically icd-9-proc, cpt-4, hcpcs or opcs-4 codes."
procedure_occurrence_procedure_source_concept_id,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., a foreign key to a procedure concept that refers to the code used in the source."
procedure_occurrence_modifier_source_value,"the procedure_occurrence table contains records of activities or processes ordered by, or carried out by, a healthcare provider on the patient to have a diagnostic or therapeutic purpose. procedures are present in various data sources in different forms with varying levels of standardization., the source code for the qualifier as it appears in the source data."
condition_occurrence_condition_occurrence_id,"conditions are records of a person suggesting the presence of a disease or medical condition stated as a diagnosis, a sign, or a symptom, which is either observed by a provider or reported by the patient. conditions are recorded in different sources and levels of standardization., a unique identifier for each condition occurrence event."
condition_occurrence_person_id,"conditions are records of a person suggesting the presence of a disease or medical condition stated as a diagnosis, a sign, or a symptom, which is either observed by a provider or reported by the patient. conditions are recorded in different sources and levels of standardization., a foreign key identifier to the person who is experiencing the condition. the demographic details of that person are stored in the person table."
condition_occurrence_condition_concept_id,"conditions are records of a person suggesting the presence of a disease or medical condition stated as a diagnosis, a sign, or a symptom, which is either observed by a provider or reported by the patient. conditions are recorded in different sources and levels of standardization., a foreign key that refers to a standard concept identifier in the standardized vocabularies belonging to the 'condition' domain."
