entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity,text
6,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.3386885279979184,0.3386885279979184,"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary race code"
0,Non-Biologic Disease-Modifying Antirheumatic Drug,C4054347,['T121'],['Pharmacologic Substance'],synthetic,synthetic,0.3269066036160908,0.3269066036160908,"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator"
2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.2061779175107294,0.2061779175107294,"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator"
6,"Kidney Failure, Chronic",C0022661,['T047'],['Disease or Syndrome'],end stage renal disease,end~stage~renal~disease,1.0,1.0,"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator"
12,Biological Markers,C0005516,['T201'],['Clinical Attribute'],indicator,indicator,0.5387012009864467,0.5387012009864467,"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator"
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.3021042100398596,0.3021042100398596,"beneficiarysummary pertains to a synthetic medicare beneficiary , state code"
4,C0683927,C0683927,['unk'],[''],state,state,0.4288698892488353,0.4288698892488353,"beneficiarysummary pertains to a synthetic medicare beneficiary , state code"
5,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.35976785823042445,0.35976785823042445,"beneficiarysummary pertains to a synthetic medicare beneficiary , state code"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.27167689013670643,0.27167689013670643,"beneficiarysummary pertains to a synthetic medicare beneficiary , county code"
5,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.35332150025185505,0.35332150025185505,"beneficiarysummary pertains to a synthetic medicare beneficiary , county code"
0,Artificial (qualifier value),C2004457,['T080'],['Qualitative Concept'],synthetic,synthetic,0.39166726588320505,0.39166726588320505,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary."
5,Total Number,C4288115,['T081'],['Quantitative Concept'],total number,total~number,0.44692120531808766,0.44692120531808766,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary."
8,month,C0439231,['T079'],['Temporal Concept'],months,month,0.40656165428842644,0.40656165428842644,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary."
9,Cover - action,C1999244,['T169'],['Functional Concept'],coverage,coverage,0.4575680890928093,0.4575680890928093,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary."
0,Artificial (qualifier value),C2004457,['T080'],['Qualitative Concept'],synthetic,synthetic,0.3918231073309456,0.3918231073309456,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary."
5,Total Number,C4288115,['T081'],['Quantitative Concept'],total number,total~number,0.4470319994096393,0.4470319994096393,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary."
8,month,C0439231,['T079'],['Temporal Concept'],months,month,0.40658941673101257,0.40658941673101257,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary."
9,Cover - action,C1999244,['T169'],['Functional Concept'],coverage,coverage,0.4578462617075395,0.4578462617075395,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary."
0,Artificial (qualifier value),C2004457,['T080'],['Qualitative Concept'],synthetic,synthetic,0.391029140014247,0.391029140014247,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of hmo coverage for the beneficiary."
5,Total Number,C4288115,['T081'],['Quantitative Concept'],total number,total~number,0.4376874563817442,0.4376874563817442,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of hmo coverage for the beneficiary."
8,month,C0439231,['T079'],['Temporal Concept'],months,month,0.4111599011525161,0.4111599011525161,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of hmo coverage for the beneficiary."
9,Cover - action,C1999244,['T169'],['Functional Concept'],coverage,coverage,0.47643270723093273,0.47643270723093273,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of hmo coverage for the beneficiary."
0,Artificial (qualifier value),C2004457,['T080'],['Qualitative Concept'],synthetic,synthetic,0.34119571520477193,0.34119571520477193,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary."
5,Total Number,C4288115,['T081'],['Quantitative Concept'],total number,total~number,0.3910727420668166,0.3910727420668166,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary."
8,month,C0439231,['T079'],['Temporal Concept'],months,month,0.31529616864551957,0.31529616864551957,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary."
9,Treatment Plan,C0599880,['T170'],['Intellectual Product'],plan,plan,0.34725334801868174,0.34725334801868174,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary."
10,Cover - action,C1999244,['T169'],['Functional Concept'],coverage,coverage,0.3445012842796117,0.3445012842796117,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary."
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.36445002573377455,0.36445002573377455,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.2484698679644281,0.2484698679644281,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.24855838592328944,0.24855838592328944,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5702508714278348,0.5702508714278348,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
7,Relationships,C0439849,['T080'],['Qualitative Concept'],related,related,0.249452070090076,0.249452070090076,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
8,Disease,C0012634,['T047'],['Disease or Syndrome'],disorders,disorder,0.25254144107097165,0.25254144107097165,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3276002635044667,0.3276002635044667,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.31010137388857245,0.31010137388857245,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.4493121310665554,0.4493121310665554,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5416821605374128,0.5416821605374128,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure"
8,Heart failure,C0018801,['T047'],['Disease or Syndrome'],heart failure,heart~failure,0.47299710468274564,0.47299710468274564,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure"
0,Non-Biologic Disease-Modifying Antirheumatic Drug,C4054347,['T121'],['Pharmacologic Substance'],synthetic,synthetic,0.3683256245532772,0.3683256245532772,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.3020358522441779,0.3020358522441779,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.30501118245144093,0.30501118245144093,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.6659457734621839,0.6659457734621839,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease"
8,Chronic Kidney Diseases,C1561643,['T047'],['Disease or Syndrome'],chronic kidney disease,chronic~kidney~disease,0.6706175028127139,0.6706175028127139,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3037783013257002,0.3037783013257002,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer"
2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.347207402129804,0.347207402129804,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5331898561784686,0.5331898561784686,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer"
7,Malignant Neoplasms,C0006826,['T191'],['Neoplastic Process'],cancer,cancer,0.22525981904134496,0.22525981904134496,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.31647367043930846,0.31647367043930846,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.3506329327438918,0.3506329327438918,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.34235382089770844,0.34235382089770844,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.6647179898772047,0.6647179898772047,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease"
8,Chronic Obstructive Airway Disease,C0024117,['T047'],['Disease or Syndrome'],chronic obstructive pulmonary disease,chronic~obstructive~pulmonary~disease,1.0,1.0,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3737504579777026,0.3737504579777026,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.23197861517016108,0.23197861517016108,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.2613097399451114,0.2613097399451114,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5497659822667307,0.5497659822667307,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression"
7,Mental Depression,C0011570,['T048'],['Mental or Behavioral Dysfunction'],depression,depression,0.5689006322505563,0.5689006322505563,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3392635963539057,0.3392635963539057,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.24911661760856246,0.24911661760856246,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.2511968085825981,0.2511968085825981,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5770430333172394,0.5770430333172394,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes"
7,Diabetes,C0011847,['T047'],['Disease or Syndrome'],diabetes,diabete,0.5246878604854173,0.5246878604854173,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.37433743829938526,0.37433743829938526,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.3483529004942593,0.3483529004942593,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.38144615876565274,0.38144615876565274,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.6213103147736616,0.6213103147736616,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease"
8,Myocardial Ischemia,C0151744,['T047'],['Disease or Syndrome'],ischemic heart disease,ischemic~heart~disease,0.4523800672516415,0.4523800672516415,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.37282418749442336,0.37282418749442336,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.223817782441559,0.223817782441559,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5211502346458217,0.5211502346458217,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis"
7,Osteoporosis,C0029456,['T047'],['Disease or Syndrome'],osteoporosis,osteoporosis,0.25396523325910314,0.25396523325910314,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3642658499044449,0.3642658499044449,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.5196980507596614,0.5196980507596614,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)"
7,Rheumatoid Arthritis,C0003873,['T047'],['Disease or Syndrome'],rheumatoid arthritis,rheumatoid~arthritis,1.0,1.0,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)"
9,Degenerative polyarthritis,C0029408,['T047'],['Disease or Syndrome'],osteoarthritis,osteoarthritis,0.5347587012539251,0.5347587012539251,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3594483252381081,0.3594483252381081,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.30307563011386623,0.30307563011386623,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.26098246874866704,0.26098246874866704,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack"
5,Chronic condition,C4315615,['T033'],['Finding'],chronic condition,chronic~condition,0.6410579667857355,0.6410579667857355,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack"
7,Cerebrovascular accident,C0038454,['T047'],['Disease or Syndrome'],stroke,stroke,0.6985595551896568,0.6985595551896568,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack"
9,Transient Ischemic Attack,C0007787,['T047'],['Disease or Syndrome'],transient ischemic attack,transient~ischemic~attack,1.0,1.0,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack"
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.32074791003692793,0.32074791003692793,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual medicare reimbursement amount"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.20335310600740478,0.20335310600740478,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual medicare reimbursement amount"
4,inpatient,C0021562,['T101'],['Patient or Disabled Group'],inpatient,inpatient,0.610689800165997,0.610689800165997,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual medicare reimbursement amount"
6,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.20398989661911637,0.20398989661911637,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual medicare reimbursement amount"
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.30384857386752784,0.30384857386752784,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual beneficiary responsibility amount"
4,inpatient,C0021562,['T101'],['Patient or Disabled Group'],inpatient,inpatient,0.6235445750611909,0.6235445750611909,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual beneficiary responsibility amount"
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.38650575363705264,0.38650575363705264,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount"
2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.2030464620489613,0.2030464620489613,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount"
4,inpatient,C0021562,['T101'],['Patient or Disabled Group'],inpatient,inpatient,0.6221288208254594,0.6221288208254594,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount"
6,Primary,C0205225,['T080'],['Qualitative Concept'],primary,primary,0.44243689155417404,0.44243689155417404,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount"
7,Population Group,C1257890,['T098'],['Population Group'],payer,payer,0.45901839057343174,0.45901839057343174,"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount"
0,Artificial (qualifier value),C2004457,['T080'],['Qualitative Concept'],synthetic,synthetic,0.460183671933705,0.460183671933705,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.20683853312387698,0.20683853312387698,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
4,Outpatients,C0029921,['T101'],['Patient or Disabled Group'],outpatient,outpatient,0.5101929381112826,0.5101929381112826,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
5,Institution,C2607850,['T093'],['Health Care Related Organization'],institutional,institutional,0.43937423105069434,0.43937423105069434,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
6,Annual,C0332181,['T079'],['Temporal Concept'],annual,annual,0.22041236024031427,0.22041236024031427,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
7,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.34687510655519377,0.34687510655519377,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
8,C3242446,C3242446,['unk'],[''],reimbursement,reimbursement,0.280929822399548,0.280929822399548,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount "
0,Artificial (qualifier value),C2004457,['T080'],['Qualitative Concept'],synthetic,synthetic,0.4581224329465552,0.4581224329465552,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.3144101153769379,0.3144101153769379,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.32195646900360725,0.32195646900360725,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
4,Outpatients,C0029921,['T101'],['Patient or Disabled Group'],outpatient,outpatient,0.5142192945469004,0.5142192945469004,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
5,Institution,C2607850,['T093'],['Health Care Related Organization'],institutional,institutional,0.44747763167964316,0.44747763167964316,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
6,Annual,C0332181,['T079'],['Temporal Concept'],annual,annual,0.23056350901127276,0.23056350901127276,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
7,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.31632299648379,0.31632299648379,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
8,responsibilities,C0678341,['T055'],['Individual Behavior'],responsibility,responsibility,0.33053203945324944,0.33053203945324944,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount"
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.4598908050415121,0.4598908050415121,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.22964498161620445,0.22964498161620445,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
4,AMBULATORY CARE FACILITIES HOSP,C0029916,['T093'],['Health Care Related Organization'],outpatient,outpatient,0.5008357021999456,0.5008357021999456,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
5,Institution,C2607850,['T093'],['Health Care Related Organization'],institutional,institutional,0.47982499554132096,0.47982499554132096,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
6,Annual,C0332181,['T079'],['Temporal Concept'],annual,annual,0.20649591809403825,0.20649591809403825,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
7,Primary,C0205225,['T080'],['Qualitative Concept'],primary,primary,0.5440334804527567,0.5440334804527567,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
8,Population Group,C1257890,['T098'],['Population Group'],payer,payer,0.5085968434420222,0.5085968434420222,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
9,C3242446,C3242446,['unk'],[''],reimbursement,reimbursement,0.25535808823591116,0.25535808823591116,"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount "
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.5093716102070504,0.5093716102070504,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount "
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.28901244319341984,0.28901244319341984,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount "
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.2215182365226496,0.2215182365226496,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount "
4,Drug Carrier,C0013161,['T122'],['Biomedical or Dental Material'],carrier,carrier,0.43703975116452454,0.43703975116452454,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount "
5,Annual,C0332181,['T079'],['Temporal Concept'],annual,annual,0.2077413626414549,0.2077413626414549,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount "
6,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.3071577816263428,0.3071577816263428,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount "
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.5135041242460427,0.5135041242460427,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual beneficiary responsibility amount "
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.2518720711241768,0.2518720711241768,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual beneficiary responsibility amount "
3,C1550502,C1550502,['unk'],[''],beneficiary,beneficiary,0.21914377864500864,0.21914377864500864,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual beneficiary responsibility amount "
4,Drug Carrier,C0013161,['T122'],['Biomedical or Dental Material'],carrier,carrier,0.4586052828208912,0.4586052828208912,"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual beneficiary responsibility amount "
