SOURCE,AttributoNomeCompleto,DescrizioneCompleta,DescrizioneTabella,DescrizioneAttributo,Tabella,Attributo
OMOP,person-ethnicity_source_value,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the source code for the ethnicity of the person as it appears in the source data. the person ethnicity is mapped to a standard ethnicity concept in the standardized vocabularies and the original code is, stored here for reference.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"the source code for the ethnicity of the person as it appears in the source data. the person ethnicity is mapped to a standard ethnicity concept in the standardized vocabularies and the original code is, stored here for reference.",person,ethnicity_source_value
OMOP,person-ethnicity_source_concept_id,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key to the ethnicity concept that refers to the code used in the source.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,a foreign key to the ethnicity concept that refers to the code used in the source.,person,ethnicity_source_concept_id
OMOP,visit_occurrence-visit_occurrence_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a unique identifier for each person's visit or encounter at a healthcare provider.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a unique identifier for each person's visit or encounter at a healthcare provider.,visit_occurrence,visit_occurrence_id
OMOP,visit_occurrence-person_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key identifier to the person for whom the visit is recorded. the demographic details of that person are stored in the person table.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key identifier to the person for whom the visit is recorded. the demographic details of that person are stored in the person table.,visit_occurrence,person_id
OMOP,visit_occurrence-visit_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key that refers to a visit concept identifier in the standardized vocabularies belonging to the 'visit' vocabulary.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key that refers to a visit concept identifier in the standardized vocabularies belonging to the 'visit' vocabulary.,visit_occurrence,visit_concept_id
OMOP,visit_occurrence-visit_start_date,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the start date of the visit.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the start date of the visit.,visit_occurrence,visit_start_date
OMOP,visit_occurrence-visit_start_datetime,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the date and time of the visit started.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the date and time of the visit started.,visit_occurrence,visit_start_datetime
OMOP,visit_occurrence-visit_end_date,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the end date of the visit. if this is a one-day visit the end date should match the start date.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the end date of the visit. if this is a one-day visit the end date should match the start date.,visit_occurrence,visit_end_date
OMOP,visit_occurrence-visit_end_datetime,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the date and time of the visit end.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the date and time of the visit end.,visit_occurrence,visit_end_datetime
OMOP,visit_occurrence-visit_type_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.,visit_occurrence,visit_type_concept_id
OMOP,visit_occurrence-provider_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to the provider in the provider table who was associated with the visit.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to the provider in the provider table who was associated with the visit.,visit_occurrence,provider_id
OMOP,visit_occurrence-care_site_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to the care site in the care site table that was visited.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to the care site in the care site table that was visited.,visit_occurrence,care_site_id
OMOP,visit_occurrence-visit_source_value,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the source code for the visit as it appears in the source data.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the source code for the visit as it appears in the source data.,visit_occurrence,visit_source_value
OMOP,visit_occurrence-visit_source_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to a concept that refers to the code used in the source.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to a concept that refers to the code used in the source.,visit_occurrence,visit_source_concept_id
OMOP,visit_occurrence-admitted_from_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to the predefined concept in the place of service vocabulary reflecting where the patient was admitted from.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to the predefined concept in the place of service vocabulary reflecting where the patient was admitted from.,visit_occurrence,admitted_from_concept_id
OMOP,visit_occurrence-admitted_from_source_value,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the source code for where the patient was admitted from as it appears in the source data.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the source code for where the patient was admitted from as it appears in the source data.,visit_occurrence,admitted_from_source_value
OMOP,visit_occurrence-discharge_to_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to the predefined concept in the place of service vocabulary reflecting the discharge disposition for a visit.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to the predefined concept in the place of service vocabulary reflecting the discharge disposition for a visit.,visit_occurrence,discharge_to_concept_id
OMOP,visit_occurrence-discharge_to_source_value,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;the source code for the discharge disposition as it appears in the source data.","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",the source code for the discharge disposition as it appears in the source data.,visit_occurrence,discharge_to_source_value
OMOP,visit_occurrence-preceding_visit_occurrence_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).;a foreign key to the visit_occurrence table of the visit immediately preceding this visit","the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset).",a foreign key to the visit_occurrence table of the visit immediately preceding this visit,visit_occurrence,preceding_visit_occurrence_id
OMOP,visit_detail-visit_detail_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a unique identifier for each person's visit or encounter at a healthcare provider.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a unique identifier for each person's visit or encounter at a healthcare provider.,visit_detail,visit_detail_id
OMOP,visit_detail-person_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a foreign key identifier to the person for whom the visit is recorded. the demographic details of that person are stored in the person table.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a foreign key identifier to the person for whom the visit is recorded. the demographic details of that person are stored in the person table.,visit_detail,person_id
OMOP,visit_detail-visit_detail_concept_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a foreign key that refers to a visit concept identifier in the standardized vocabularies belonging to the 'visit' vocabulary.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a foreign key that refers to a visit concept identifier in the standardized vocabularies belonging to the 'visit' vocabulary.,visit_detail,visit_detail_concept_id
OMOP,visit_detail-visit_detail_start_date,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;the start date of the visit.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,the start date of the visit.,visit_detail,visit_detail_start_date
OMOP,visit_detail-visit_detail_start_datetime,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;the date and time of the visit started.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,the date and time of the visit started.,visit_detail,visit_detail_start_datetime
OMOP,visit_detail-visit_detail_end_date,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;the end date of the visit. if this is a one-day visit the end date should match the start date.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,the end date of the visit. if this is a one-day visit the end date should match the start date.,visit_detail,visit_detail_end_date
OMOP,visit_detail-visit_detail_end_datetime,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;the date and time of the visit end.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,the date and time of the visit end.,visit_detail,visit_detail_end_datetime
OMOP,visit_detail-visit_detail_type_concept_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary.,visit_detail,visit_detail_type_concept_id
OMOP,visit_detail-provider_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a foreign key to the provider in the provider table who was associated with the visit.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a foreign key to the provider in the provider table who was associated with the visit.,visit_detail,provider_id
OMOP,visit_detail-care_site_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a foreign key to the care site in the care site table that was visited.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a foreign key to the care site in the care site table that was visited.,visit_detail,care_site_id
OMOP,visit_detail-visit_detail_source_value,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;the source code for the visit as it appears in the source data.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,the source code for the visit as it appears in the source data.,visit_detail,visit_detail_source_value
OMOP,visit_detail-visit_detail_source_concept_id,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;a foreign key to a concept that refers to the code used in the source.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,a foreign key to a concept that refers to the code used in the source.,visit_detail,visit_detail_source_concept_id
OMOP,visit_detail-admitted_from_source_value,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.;the source code for the admitting source as it appears in the source data.,the visit_detail table is an optional table used to represents details of each record in the parent visit_occurrence table. for every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. the visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit.,the source code for the admitting source as it appears in the source data.,visit_detail,admitted_from_source_value
